# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,product,feed_category,multiplier
ATG,dairy,ruminant_roughage,1.0
ATG,dairy-buffalo,ruminant_forage,1.3666129595677308
ATG,dairy-buffalo,ruminant_grain,1.0
ATG,dairy-buffalo,ruminant_protein,1.0
ATG,dairy-buffalo,ruminant_roughage,1.0
ATG,eggs,monogastric_grain,1.0
ATG,eggs,monogastric_low_quality,1.0
ATG,eggs,monogastric_protein,1.0
ATG,meat-cattle,ruminant_forage,1.3666129595677308
ATG,meat-cattle,ruminant_grain,1.0
ATG,meat-cattle,ruminant_protein,1.0
ATG,meat-cattle,ruminant_roughage,1.0
ATG,meat-chicken,monogastric_grain,1.0
ATG,meat-chicken,monogastric_low_quality,1.0
ATG,meat-chicken,monogastric_protein,1.0
ATG,meat-pig,monogastric_grain,1.0
ATG,meat-pig,monogastric_low_quality,1.0
ATG,meat-pig,monogastric_protein,1.0
ATG,meat-sheep,ruminant_forage,1.3666129595677308
ATG,meat-sheep,ruminant_grain,1.0
ATG,meat-sheep,ruminant_protein,1.0
ATG,meat-sheep,ruminant_roughage,1.0
AUS,dairy,ruminant_forage,1.0
AUS,dairy,ruminant_grain,1.0
AUS,dairy,ruminant_protein,2.0
AUS,dairy,ruminant_roughage,1.0
AUS,dairy-buffalo,ruminant_forage,1.0
AUS,dairy-buffalo,ruminant_grain,1.0
AUS,dairy-buffalo,ruminant_protein,2.0
AUS,dairy-buffalo,ruminant_roughage,1.0
AUS,eggs,monogastric_grain,1.0
AUS,eggs,monogastric_low_quality,1.0
AUS,eggs,monogastric_protein,1.0
AUS,meat-cattle,ruminant_forage,1.0
AUS,meat-cattle,ruminant_grain,1.0
AUS,meat-cattle,ruminant_protein,2.0
AUS,meat-cattle,ruminant_roughage,1.0
AUS,meat-chicken,monogastric_grain,1.0
AUS,meat-chicken,monogastric_low_quality,1.0
AUS,meat-chicken,monogastric_protein,1.0
AUS,meat-pig,monogastric_grain,1.0
AUS,meat-pig,monogastric_low_quality,1.0
AUS,meat-pig,monogastric_protein,1.0
AUS,meat-sheep,ruminant_forage,1.0
AUS,meat-sheep,ruminant_grain,1.0
AUS,meat-sheep,ruminant_protein,2.0
AUS,meat-sheep,ruminant_roughage,1.0
AUT,dairy,ruminant_forage,1.2442512242190553
AUT,dairy,ruminant_grain,1.0
AUT,dairy,ruminant_protein,1.0
AUT,dairy,ruminant_roughage,1.0
AUT,dairy-buffalo,ruminant_forage,1.2442512242190553
AUT,dairy-buffalo,ruminant_grain,1.0
AUT,dairy-buffalo,ruminant_protein,1.0
AUT,dairy-buffalo,ruminant_roughage,1.0
AUT,eggs,monogastric_grain,1.0
AUT,eggs,monogastric_low_quality,1.0
AUT,eggs,monogastric_protein,1.0
AUT,meat-cattle,ruminant_forage,1.2442512242190553
AUT,meat-cattle,ruminant_grain,1.0
AUT,meat-cattle,ruminant_protein,1.0
AUT,meat-cattle,ruminant_roughage,1.0
AUT,meat-chicken,monogastric_grain,1.0
AUT,meat-chicken,monogastric_low_quality,1.0
AUT,meat-chicken,monogastric_protein,1.0
AUT,meat-pig,monogastric_grain,1.0
AUT,meat-pig,monogastric_low_quality,1.0
AUT,meat-pig,monogastric_protein,1.0
AUT,meat-sheep,ruminant_forage,1.2442512242190553
