product,country,correction_bnusd_per_mt_feed
eggs,ERI,-0.034901075065135956
eggs,ESP,-0.0018735128687694669
eggs,EST,0.0307936891913414
eggs,ETH,-0.03368201479315758
eggs,FIN,0.011283493600785732
eggs,FJI,-0.017109453678131104
eggs,FRA,-0.0
eggs,GAB,-0.04659910500049591
eggs,GBR,-0.006794910412281752
eggs,GEO,0.0019615027122199535
eggs,GHA,-0.02498140186071396
eggs,GIN,-0.028336241841316223
eggs,GMB,-0.018714185804128647
eggs,GNB,-0.04401711747050285
eggs,GNQ,-0.0347423255443573
eggs,GRC,-0.0
eggs,GRD,-0.07890207320451736
eggs,GTM,-0.060691699385643005
eggs,GUF,-0.0
eggs,GUY,-0.05251661688089371
eggs,HND,-0.05569186434149742
eggs,HRV,-0.0
eggs,HTI,-0.03411388769745827
eggs,HUN,-0.0
eggs,IDN,-0.007186430506408215
eggs,IND,0.007429410237818956
eggs,IRL,-0.0
eggs,IRN,-0.010232026688754559
eggs,IRQ,0.001940990681760013
eggs,ISL,-0.0357421338558197
eggs,ISR,-0.01825127936899662
eggs,ITA,0.012274500913918018
eggs,JAM,-0.06760245561599731
eggs,JOR,-0.015937618911266327
eggs,JPN,-0.05028705298900604
eggs,KAZ,0.01053720060735941
eggs,KEN,-0.06007317826151848
eggs,KGZ,0.0007578229415230453
eggs,KHM,-0.004332938697189093
eggs,KOR,-0.05720560997724533
eggs,LAO,-0.04991982504725456
eggs,LBN,-0.01475564669817686
eggs,LBR,-0.04234091937541962
eggs,LBY,-0.028468161821365356
eggs,LKA,0.0064683109521865845
eggs,LSO,-0.07424252480268478
eggs,LTU,-0.0
eggs,LUX,0.019273243844509125
eggs,LVA,-0.0
eggs,MAR,-0.01671486534178257
eggs,MDA,0.029768168926239014
eggs,MDG,-0.07618209719657898
eggs,MEX,-0.0650985985994339
eggs,MKD,0.027569588273763657
eggs,MLI,-0.030850159004330635
eggs,MLT,-0.0
eggs,MMR,-0.013109907507896423
eggs,MNE,0.025273459032177925
eggs,MNG,-0.005224484018981457
eggs,MOZ,-0.06625337898731232
eggs,MRT,-0.02409130148589611
eggs,MUS,-0.08776784688234329
eggs,MWI,-0.07178620994091034
eggs,MYS,-0.017994139343500137
eggs,NAM,-0.05200008302927017
eggs,NER,-0.03414137661457062
eggs,NGA,-0.019994862377643585
eggs,NIC,-0.06773774325847626
eggs,NLD,-0.0
eggs,NOR,0.0055734459310770035
eggs,NPL,-0.004903894383460283
eggs,NZL,-0.031247956678271294
eggs,OMN,-0.03368225693702698
eggs,PAK,-0.0022770368959754705
eggs,PAN,-0.06525424867868423
eggs,PER,-0.053925108164548874
eggs,PHL,-0.04777304828166962
eggs,PNG,-0.040437351912260056
eggs,POL,-0.0
eggs,PRI,-0.053445588797330856
eggs,PRT,-0.002483486197888851
eggs,PRY,-0.029271816834807396
eggs,PSE,-0.01996900886297226
eggs,ROU,-0.0
eggs,RUS,-0.0007766327471472323
eggs,RWA,-0.05635395646095276
eggs,SAU,-0.0062151565216481686
