# GLEAM 3.0 country-level animal production data (reference year 2015).
# Source: FAO Global Livestock Environmental Assessment Model (GLEAM) version 3.0.
# Obtained directly from FAO upon request.
#
# SPDX-FileCopyrightText: FAO 2022
# SPDX-License-Identifier: CC-BY-4.0
ISO3,COUNTRY,VarName,Animal,LPS,Item,Element,Total,Unit
SDN,Sudan,Production,Cattle,Grassland,Meat,LiveWeight,383119591.3,kg/year
SDN,Sudan,Production,Cattle,Mixed,Meat,CarcassWeight,374020503.6,kg/year
SDN,Sudan,Production,Cattle,Mixed,Meat,LiveWeight,795788305.3,kg/year
SDN,Sudan,Production,Cattle,Grassland,Milk,Weight,932373730.6,kg/year
SDN,Sudan,Production,Cattle,Mixed,Milk,Weight,1925595043,kg/year
SDN,Sudan,Production,Chicken,Backyard,Eggs,Weight,38294248.9,kg/year
SDN,Sudan,Production,Chicken,Backyard,Meat,CarcassWeight,11308842.75,kg/year
SDN,Sudan,Production,Chicken,Backyard,Meat,LiveWeight,17198718.94,kg/year
SDN,Sudan,Production,Chicken,Broiler,Meat,CarcassWeight,78485366.47,kg/year
SDN,Sudan,Production,Chicken,Broiler,Meat,LiveWeight,120746722.1,kg/year
SDN,Sudan,Production,Chicken,Layer,Eggs,Weight,44798032.26,kg/year
SDN,Sudan,Production,Chicken,Layer,Meat,CarcassWeight,7550579.976,kg/year
SDN,Sudan,Production,Chicken,Layer,Meat,LiveWeight,13728326.93,kg/year
SDN,Sudan,Production,Goats,Grassland,Meat,CarcassWeight,66753650.01,kg/year
SDN,Sudan,Production,Goats,Grassland,Meat,LiveWeight,146068205,kg/year
SDN,Sudan,Production,Goats,Mixed,Meat,CarcassWeight,62148815.35,kg/year
SDN,Sudan,Production,Goats,Mixed,Meat,LiveWeight,135992052.6,kg/year
SDN,Sudan,Production,Goats,Grassland,Milk,Weight,582987934.9,kg/year
SDN,Sudan,Production,Goats,Mixed,Milk,Weight,542771957.1,kg/year
SDN,Sudan,Production,Sheep,Grassland,Meat,CarcassWeight,111258829.9,kg/year
SDN,Sudan,Production,Sheep,Grassland,Meat,LiveWeight,230827444.4,kg/year
SDN,Sudan,Production,Sheep,Mixed,Meat,CarcassWeight,121977733.2,kg/year
SDN,Sudan,Production,Sheep,Mixed,Meat,LiveWeight,253065832.7,kg/year
SDN,Sudan,Production,Sheep,Grassland,Milk,Weight,194804380,kg/year
SDN,Sudan,Production,Sheep,Mixed,Milk,Weight,211905605.6,kg/year
AND,Andorra,Production,Cattle,Grassland,Meat,CarcassWeight,266541.9814,kg/year
AND,Andorra,Production,Cattle,Grassland,Meat,LiveWeight,450604.5879,kg/year
AND,Andorra,Production,Cattle,Grassland,Milk,Weight,0,kg/year
AND,Andorra,Production,Chicken,Backyard,Eggs,Weight,151335.868,kg/year
AND,Andorra,Production,Chicken,Backyard,Meat,CarcassWeight,33535.78137,kg/year
AND,Andorra,Production,Chicken,Backyard,Meat,LiveWeight,45462.078,kg/year
AND,Andorra,Production,Goats,Grassland,Meat,CarcassWeight,5691.829086,kg/year
AND,Andorra,Production,Goats,Grassland,Meat,LiveWeight,13236.81181,kg/year
AND,Andorra,Production,Goats,Grassland,Milk,Weight,0,kg/year
AND,Andorra,Production,Sheep,Grassland,Meat,CarcassWeight,69743.16058,kg/year
AND,Andorra,Production,Sheep,Grassland,Meat,LiveWeight,134899.7235,kg/year
AND,Andorra,Production,Sheep,Grassland,Milk,Weight,0,kg/year
AGO,Angola,Production,Cattle,Grassland,Meat,CarcassWeight,51126597.75,kg/year
AGO,Angola,Production,Cattle,Grassland,Meat,LiveWeight,108779995.3,kg/year
AGO,Angola,Production,Cattle,Mixed,Meat,CarcassWeight,12059781.53,kg/year
AGO,Angola,Production,Cattle,Mixed,Meat,LiveWeight,25659109.69,kg/year
AGO,Angola,Production,Cattle,Grassland,Milk,Weight,143240831.6,kg/year
AGO,Angola,Production,Cattle,Mixed,Milk,Weight,72333299.5,kg/year
AGO,Angola,Production,Chicken,Backyard,Eggs,Weight,7116013.757,kg/year
AGO,Angola,Production,Chicken,Backyard,Meat,CarcassWeight,3004266.528,kg/year
AGO,Angola,Production,Chicken,Backyard,Meat,LiveWeight,4568186.65,kg/year
AGO,Angola,Production,Chicken,Broiler,Meat,CarcassWeight,150973138.3,kg/year
AGO,Angola,Production,Chicken,Broiler,Meat,LiveWeight,232266375.1,kg/year
AGO,Angola,Production,Chicken,Layer,Eggs,Weight,12716483.65,kg/year
AGO,Angola,Production,Chicken,Layer,Meat,CarcassWeight,2143327.101,kg/year
AGO,Angola,Production,Chicken,Layer,Meat,LiveWeight,3896958.288,kg/year
AGO,Angola,Production,Goats,Grassland,Meat,CarcassWeight,11920703.41,kg/year
AGO,Angola,Production,Goats,Grassland,Meat,LiveWeight,24130834.31,kg/year
AGO,Angola,Production,Goats,Mixed,Meat,CarcassWeight,3003887.218,kg/year
AGO,Angola,Production,Goats,Mixed,Meat,LiveWeight,6080707.015,kg/year
AGO,Angola,Production,Goats,Grassland,Milk,Weight,0,kg/year
AGO,Angola,Production,Goats,Mixed,Milk,Weight,0,kg/year
AGO,Angola,Production,Pigs,Backyard,Meat,CarcassWeight,52227184.56,kg/year
AGO,Angola,Production,Pigs,Backyard,Meat,LiveWeight,80349517.46,kg/year
AGO,Angola,Production,Pigs,Industrial,Meat,CarcassWeight,137154766.1,kg/year
AGO,Angola,Production,Pigs,Industrial,Meat,LiveWeight,182873021.6,kg/year
AGO,Angola,Production,Pigs,Intermediate,Meat,CarcassWeight,88154832.61,kg/year
AGO,Angola,Production,Pigs,Intermediate,Meat,LiveWeight,117539776.9,kg/year
AGO,Angola,Production,Sheep,Grassland,Meat,CarcassWeight,5318116.904,kg/year
AGO,Angola,Production,Sheep,Grassland,Meat,LiveWeight,10034182.85,kg/year
AGO,Angola,Production,Sheep,Mixed,Meat,CarcassWeight,1196760.175,kg/year
AGO,Angola,Production,Sheep,Mixed,Meat,LiveWeight,2258038.066,kg/year
AGO,Angola,Production,Sheep,Grassland,Milk,Weight,0,kg/year
AGO,Angola,Production,Sheep,Mixed,Milk,Weight,0,kg/year
ATG,Antigua and Barbuda,Production,Cattle,Grassland,Meat,CarcassWeight,38943.46875,kg/year
ATG,Antigua and Barbuda,Production,Cattle,Grassland,Meat,LiveWeight,75597,kg/year
ATG,Antigua and Barbuda,Production,Cattle,Mixed,Meat,CarcassWeight,105685.8418,kg/year
ATG,Antigua and Barbuda,Production,Cattle,Mixed,Meat,LiveWeight,205157.1836,kg/year
ATG,Antigua and Barbuda,Production,Cattle,Grassland,Milk,Weight,780877,kg/year
ATG,Antigua and Barbuda,Production,Cattle,Mixed,Milk,Weight,2119165.219,kg/year
ATG,Antigua and Barbuda,Production,Chicken,Backyard,Eggs,Weight,9263.409271,kg/year
ATG,Antigua and Barbuda,Production,Chicken,Backyard,Meat,CarcassWeight,1831.109806,kg/year
ATG,Antigua and Barbuda,Production,Chicken,Backyard,Meat,LiveWeight,2783.288719,kg/year
ATG,Antigua and Barbuda,Production,Chicken,Broiler,Meat,CarcassWeight,4608.272949,kg/year
ATG,Antigua and Barbuda,Production,Chicken,Broiler,Meat,LiveWeight,6312.702515,kg/year
ATG,Antigua and Barbuda,Production,Chicken,Layer,Eggs,Weight,1350465.406,kg/year
ATG,Antigua and Barbuda,Production,Chicken,Layer,Meat,CarcassWeight,154022.1016,kg/year
ATG,Antigua and Barbuda,Production,Chicken,Layer,Meat,LiveWeight,280040.1797,kg/year
ATG,Antigua and Barbuda,Production,Goats,Grassland,Meat,CarcassWeight,18844.90039,kg/year
ATG,Antigua and Barbuda,Production,Goats,Grassland,Meat,LiveWeight,42635.51953,kg/year
ATG,Antigua and Barbuda,Production,Goats,Mixed,Meat,CarcassWeight,90901.61328,kg/year
ATG,Antigua and Barbuda,Production,Goats,Mixed,Meat,LiveWeight,205659.7422,kg/year
ATG,Antigua and Barbuda,Production,Goats,Grassland,Milk,Weight,0,kg/year
ATG,Antigua and Barbuda,Production,Goats,Mixed,Milk,Weight,0,kg/year
ATG,Antigua and Barbuda,Production,Pigs,Backyard,Meat,CarcassWeight,42126.78088,kg/year
ATG,Antigua and Barbuda,Production,Pigs,Backyard,Meat,LiveWeight,64810.43518,kg/year
ATG,Antigua and Barbuda,Production,Pigs,Industrial,Meat,CarcassWeight,605332.5234,kg/year
ATG,Antigua and Barbuda,Production,Pigs,Industrial,Meat,LiveWeight,807110.0313,kg/year
ATG,Antigua and Barbuda,Production,Pigs,Intermediate,Meat,CarcassWeight,116965.0664,kg/year
ATG,Antigua and Barbuda,Production,Pigs,Intermediate,Meat,LiveWeight,155953.4238,kg/year
ATG,Antigua and Barbuda,Production,Sheep,Grassland,Meat,CarcassWeight,25495.15625,kg/year
ATG,Antigua and Barbuda,Production,Sheep,Grassland,Meat,LiveWeight,56655.90234,kg/year
ATG,Antigua and Barbuda,Production,Sheep,Mixed,Meat,CarcassWeight,84260.21289,kg/year
ATG,Antigua and Barbuda,Production,Sheep,Mixed,Meat,LiveWeight,187244.9141,kg/year
ATG,Antigua and Barbuda,Production,Sheep,Grassland,Milk,Weight,0,kg/year
ATG,Antigua and Barbuda,Production,Sheep,Mixed,Milk,Weight,0,kg/year
ARG,Argentina,Production,Buffalo,Grassland,Meat,CarcassWeight,3839401.821,kg/year
ARG,Argentina,Production,Buffalo,Grassland,Meat,LiveWeight,7078889.559,kg/year
ARG,Argentina,Production,Buffalo,Mixed,Meat,CarcassWeight,1449313.069,kg/year
ARG,Argentina,Production,Buffalo,Mixed,Meat,LiveWeight,2672168.121,kg/year
ARG,Argentina,Production,Buffalo,Grassland,Milk,Weight,0,kg/year
ARG,Argentina,Production,Buffalo,Mixed,Milk,Weight,0,kg/year
ARG,Argentina,Production,Cattle,Mixed,Meat,CarcassWeight,2252741755,kg/year
ARG,Argentina,Production,Cattle,Mixed,Meat,LiveWeight,4203142439,kg/year
ARG,Argentina,Production,Cattle,Grassland,Meat,CarcassWeight,535558602.4,kg/year
